Source,MT,MTPE,MQMScore,LLM_MQM_gemba_mqm,LLM_MQM_ea_prompt
So we attach this by pressing Ctrl+J.,그래서 Ctrl+J를 눌러서 이걸 붙여주는 거죠.,Ctrl+J를 눌러서 이것을 연결합니다.,94,94.0,88.0
"But, you'll notice something changed when we Actually, let's use this.","하지만, 실제로 이걸 사용할 때 뭔가 변화가 생긴다는 걸 알게 될 거예요.",뭔가가 바뀐 것을 알 수 있습니다. 다른 것을 사용합시다.,74,73.0,88.0
"When I press Ctrl+J, something different happens, right?","제가 Ctrl+J를 누르면 뭔가 다르게 일어난다는 거죠, 맞나요?","제가 Ctrl+J를 누르면, 다른 일이 발생합니다.",74,99.0,88.0
This changed somehow.,이게 뭔가 변했어요.,이것이 어떻게 조금 바뀌었습니다.,94,94.0,88.0
What changed about it?,그게 뭐가 변한 건가요?,무엇이 바뀌었나요?,94,94.0,90.0
Something changed.,뭔가 변했어요.,뭔가가 바뀌었습니다.,94,94.0,96.0
"So when you press join, so it also takes account our idea of selected objects and active objects.","그래서 여러분이 조인(join)을 누르면, 선택한 오브젝트와 활성 오브젝트에 대한 아이디어도 고려하게 되는 거죠.","Join 버튼을 누르면, 선택한 오브젝트와 활성 오브젝트에 대한 아이디어도 반영됩니다.",94,99.0,88.0
"So when you press this finger and you press the palm and Ctrl+J, does all the selected objects, which is, in this case, the finger, kind of gets joined into the palm.","그래서 여러분이 이 손가락을 누르고 손바닥을 누르면서 Ctrl+J를 누르면, 선택된 오브젝트들, 즉 이 경우 손가락이 손바닥에 합쳐지는 거죠.",이 손가락을 누르고 손바닥과 Ctrl+J를 누르면 선택한 오브젝트인 손가락이 손바닥에 합쳐지는 거죠.,95,98.0,88.0
But that doesn't explain why this changed.,하지만 그건 왜 이게 변했는지를 설명하지는 않아요.,"하지만, 변화에 대한 설명이 되지는 않습니다.",99,99.0,98.0
"This changed because the palm container has this subdivision kind of modifier, and this also has a Subdivision Modifier.","이게 변한 이유는 손바닥 컨테이너가 이런 서브디비전 모디파이어를 가지고 있고, 이것도 서브디비전 모디파이어를 가지고 있기 때문이에요.",이게 변한 이유는 손바닥 컨테이너가 Subdivision Modifier를 가지고 있고 손가락도 마찬가지이기 때문입니다.,98,94.0,88.0
"What happens is, basically, this gets deleted.",결국 이게 기본형으로 삭제되는 거예요.,"무슨 일이 일어나냐면, 기본적으로 이게 삭제됩니다.",74,74.0,88.0
"And since this has a value of 2 and for the palm, this has a value of 1.","그리고 이건 2의 값을 가지고 있고, 손바닥은 1의 값을 가지고 있어요.",손가락의 값은 2이고 손바닥은 값은 1입니다.,94,99.0,88.0
It takes the 1 value.,1의 값을 가져가요.,1을 가져갑니다.,99,99.0,98.0
That's why it changed.,그래서 이게 변한 거예요.,그래서 이게 변한 거예요.,100,100.0,100.0
"And if we change this back to 2, it returns to its original block.",그리고 이걸 다시 2로 바꾸면 원래의 블록으로 돌아가요.,이것을 다시 2로 바꾸면 원래의 형태로 돌아갑니다.,99,99.0,98.0
We will be merging this just the same as how we merge the fingers.,우리는 이걸 손가락을 합치는 것과 똑같이 병합할 거예요.,손가락도 손가락 관절을 Merge한 것과 같은 방식으로 Merge 할 것입니다.,98,73.0,78.0
"You select the two vertices and press M, however you like.",두 개의 정점을 선택하고 원하는 대로 M을 누르면 돼요.,두 개의 Vertecies를 선택하고 M을 누르시면 됩니다.,98,74.0,88.0
Press M.,M을 눌러주세요.,M을 누르세요.,99,99.0,98.0
"Next, I want these other fingers. Right?","다음으로, 이 다른 손가락들을 원해요. 맞죠?","다음으로, 다른 손가락들도 해야겠죠?",90,74.0,88.0
I want to connect also these other fingers.,저는 이 다른 손가락들도 연결하고 싶어요.,다른 손가락들도 연결하고 싶습니다.,99,99.0,98.0
But when you notice like this.... Let's see what it looks like if we connect the other finger.,하지만 이렇게 보시면… 다른 손가락을 연결하면 어떻게 보이는지 한번 볼까요?,다른 손가락을 연결하면 어떻게 되는지 한번 봅시다.,94,99.0,98.0
"So this, merge center, this this this, merge center, This, merge, center. This, merge, center.","그래서 이거, 병합 중심, 이거 이거 이거, 병합 중심, 이거, 병합, 중심이에요. 이거, 병합, 중심이에요.","이 부분을 Merge>Center, 이 부분과 이 부분을 Merge>Center, 여기도 Merge>Center, 여기도 Merge>Center 합니다.",74,74.0,88.0
"Well, this kind of looks… Blatantly, this looks wrong because the finger is shamelessly doing that.","음, 이건 좀 이렇게 보이네요... 명백히, 이건 잘못 보이네요. 왜냐하면 손가락이 뻔뻔하게 그렇게 하고 있으니까요.",아주 명백하게 잘못돼 보입니다. 왜냐하면 손가락이 이런 말도 안 되는 모양이잖아요.,95,69.0,78.0
So how do we fix this?,그럼 이걸 어떻게 수정하죠?,그럼 이걸 어떻게 고치죠?,95,99.0,98.0
We fix this by fixing our first assumption of way of this kind of being just a hole.,우리는 이걸 단순히 구멍이라고 가정한 첫 번째 생각을 수정함으로써 고칠 수 있어요.,우리는 이걸 단순히 구멍으로 생각했던 첫 번째 가정을 수정함으로써 고칠 수 있습니다.,94,99.0,98.0
"Based on the look of your finger, there's actually a gap that happens.","손가락의 모양을 보면, 실제로 간격이 생기는 거예요.",손가락 모양에 따라 손가락 사이에는 간격이 있습니다.,94,99.0,88.0
"So you have to also define if we also want… I'm emphasizing that again, IF we want, we can also define this gap.","그래서 우리가 또 원하는 게 뭔지도 정의해야 해요… 다시 강조하는데, 우리가 원한다면 이 간격도 정의할 수 있어요.","그래서 우리가 원한다면, 다시 강조하자면, 우리가 원한다면 이 간격도 정의할 수 있습니다.",74,74.0,88.0
"Now that we have this gap, we press...","이제 이 간격이 생겼으니, 우리는... 눌러요.",이제 간격이 생겼으니 누르세요.,94,74.0,88.0
"we select the two vertices, press F.",두 개의 정점을 선택하고 F를 눌러요.,두 개의 vertecies를 선택하고 F를 누릅니다.,98,94.0,96.0
And we can close it up by Filling.,그리고 우리는 Fill로 닫을 수 있어요.,그리고 채우기로 마무리할 수 있습니다.,68,73.0,86.0
So now you have this.,그래서 이제 이게 생겼어요.,이제 이렇게 되었습니다.,74,74.0,88.0
"So, again, we just join, and then we merge it by this.","그러니까, 다시 말해서 우리는 그냥 조인하고, 그 다음에 이걸로 병합해요.","그래서 다시, 우리는 그냥 합치고, Merge 합니다.",72,72.0,84.0
"But this is a little bit too tedious, merging one by one.",하지만 이건 하나씩 병합하는 게 좀 귀찮아요.,하지만 이렇게 하나하나 병합하는 것은 조금 번거롭습니다.,99,94.0,88.0
"So one thing that you can try, and sometimes it works, sometimes it doesn't, is select this and select the place you want to merge them to and press space and click and try to search for Bridge.","그래서 시도해볼 수 있는 한 가지 방법은, 가끔은 잘 되고 가끔은 안 되지만, 이걸 선택하고 병합할 위치를 선택한 다음 스페이스를 눌러서 클릭하고 Bridge를 찾아보는 거예요.","그래서 여러분이 시도해 볼 수 있는 한 가지는, 효과가 있을 때도 있고, 없을 때도 있는데 이걸 선택하고 Merge할 위치를 선택한 다음 스페이스를 누르고 클릭해서 Bridge를 검색해 보는 것입니다.",93,94.0,88.0
"Yeah, this one, Bridge Edge Loops.","네, 이거, Bridge Edge Loops예요.",Bridge Edge Loops입니다.,99,99.0,98.0
"If you look at it, it's a little bit different from this.","보시면, 이거랑은 조금 다르죠.","이걸 보면, 이와는 조금 다릅니다.",99,98.0,88.0
"But if we click here, merge, and there we go.","하지만 여기 클릭하고 병합하면, 이렇게 되는 거예요.","하지만 Merge를 클릭하면, 이렇게 됩니다.",98,98.0,88.0
So we just move this.,그래서 우리는 이걸 그냥 옮기면 돼요.,이걸 옮깁니다.,94,98.0,88.0
"We add another loop to define our edge, and then we fill this up by selecting all the edges and pressing F.","우리는 우리의 엣지를 정의하기 위해 또 다른 루프를 추가하고, 그 다음 모든 가장자리를 선택하고 F를 눌러서 이걸 채워요.","모서리를 정의하기 위해 또 다른 루프를 추가하고, 그다음 모든 가장자리를 선택하고 F를 눌러서 이걸 채웁니다.",98,94.0,88.0
"Basically, we're slowly getting our very scuffed hand.","기본적으로, 우리는 천천히 아주 엉망인 손을 만들어가고 있어요.",우리는 천천히 아주 어설픈 손을 만들고 있습니다.,94,74.0,88.0
"It's not equal, it's a little bit tilted.","이건 동일하지 않고, 약간 기울어져 있어요.","균형이 맞지 않고, 약간 기울어져 있습니다.",99,74.0,88.0
"It's a little bit tilted, crooked, too thin, but we do have our fingers.","약간 기울어져 있고, 비뚤어져 있으며, 너무 마르긴 하지만, 우리는 손가락을 가지고 있어요.","약간 기울어져 있고, 비뚤어졌으며, 너무 마르지만, 우리는 손가락이 생겼습니다.",95,99.0,98.0
"We do have our palm, and we do have our hand.","우리는 손바닥도 있고, 손도 가지고 있어요.","우리는 손바닥도 있고, 손도 있습니다.",95,99.0,98.0
We should let things be ugly.,우리는 사물이 못생기게 두는 것도 괜찮아요.,그냥 못생긴 채로 두는 것도 괜찮습니다.,94,74.0,88.0
"So here again, this this this.","그래서 여기 다시, 이거 이거 이거.","그래서 다시 여기, 이거 이거 이거.",100,99.0,98.0
"So we fill it again this, and then we click this and make join.","그래서 이걸 다시 채우고, 이걸 클릭한 다음 조인해요.","이걸 다시 채우고, 그다음에 이걸 클릭해서 합칩니다.",99,94.0,88.0
And then we merge them by Edge Loops again.,그리고 나서 다시 Edge Loops로 병합해요.,그리고 Bridge Edge Loops로 Merge 합니다.,98,74.0,88.0
"Now this also has skill, by the way, trying to navigate your way once you have a lot of... Try to navigate your way once you have a lot of these vertices floating around.",이제 이건 스킬도 필요해요. 한 번에 많은 걸 다루려고 할 때 길을 찾아가는 게 말이죠… 이런 정점들이 많이 떠다닐 때 길을 찾아보세요.,이렇게 많은 Vertices에서 원하는 것을 찾는 것도 기술이 필요합니다.,49,73.0,78.0
"Again, don't be too hard on yourself.","다시 말하지만, 너무 자신에게 엄격하지 마세요.","다시 말하지만, 자신을 너무 가혹하게 대하지 마세요.",95,94.0,90.0
"And then so this, I want to save one of these fingers, actually.","그래서 이거, 사실 이 손가락 중 하나를 저장하고 싶어요.",손가락 중 하나를 저장하고 싶습니다.,99,99.0,88.0
I'm just gonna duplicate it and keep it here.,그냥 복제해서 여기 두려고 해요.,그냥 복제해서 여기 두겠습니다.,99,99.0,98.0
Why? I don't know.,"왜냐면, 잘 모르겠어요.",왜냐고요? 저도 잘 모르겠습니다.,99,74.0,86.0
So we select these and then we bridge.,그래서 이걸 선택한 다음 브리지를 해요.,모두 선택하고 나서 Bridge Edge Loops를 사용합니다.,98,94.0,88.0
